accession_name,block,common_name,experiment,minicore_id,plot_name,plot_number,population_name,range,row,seedlot_name,sort,first flower date,seed count
IT83D-442,,,GHC2501,MinicoreUCR_044,GHC2501_171,171,UCR_mini_core,,,UCR_MinicoreUCR_044_2025,71,3/27/26,37
IT84S-2049,,,GHC2501,MinicoreUCR_045,GHC2501_172,172,UCR_mini_core,,,UCR_MinicoreUCR_045_2025,72,3/10/26,37
Mouride,,,GHC2501,MinicoreUCR_088,GHC2501_211,211,UCR_mini_core,,,UCR_MinicoreUCR_088_2025,111,3/13/26,37
TVu-1059,,,GHC2501,MinicoreUCR_113,GHC2501_232,232,UCR_mini_core,,,UCR_MinicoreUCR_113_2025,132,3/16/26,37
TVu-15445,,,GHC2501,MinicoreUCR_174,GHC2501_288,288,UCR_mini_core,,,UCR_MinicoreUCR_174_2025,188,4/1/26,37
TVu-2723,,,GHC2501,MinicoreUCR_228,GHC2501_332,332,UCR_mini_core,,,UCR_MinicoreUCR_228_2025,232,,37
TVu-3657,,,GHC2501,MinicoreUCR_243,GHC2501_345,345,UCR_mini_core,,,UCR_MinicoreUCR_243_2025,245,,37
TVu-6641,,,GHC2501,MinicoreUCR_274,GHC2501_370,370,UCR_mini_core,,,UCR_MinicoreUCR_274_2025,270,,37
TVu-9651,,,GHC2501,MinicoreUCR_348,GHC2501_418,418,UCR_mini_core,,,UCR_MinicoreUCR_348_2025,318,3/13/26,37
INIA-40,,,GHC2501,MinicoreUCR_037,GHC2501_165,165,UCR_mini_core,,,UCR_MinicoreUCR_037_2025,65,3/25/26,38
TVu-2845,,,GHC2501,MinicoreUCR_231,GHC2501_334,334,UCR_mini_core,,,UCR_MinicoreUCR_231_2025,234,3/23/26,38
TVu-6464,,,GHC2501,MinicoreUCR_271,GHC2501_368,368,UCR_mini_core,,,UCR_MinicoreUCR_271_2025,268,4/1/26,38
UCR_5353,,UCR 5353,GHC2501,MinicoreUCR_378,GHC2501_441,441,UCR_mini_core,,,UCR_MinicoreUCR_378_2025,341,3/13/26,38
TVu-12923,,,GHC2501,MinicoreUCR_124,GHC2501_243,243,UCR_mini_core,,,UCR_MinicoreUCR_124_2025,143,,39
TVu-14224,,,GHC2501,MinicoreUCR_144,GHC2501_261,261,UCR_mini_core,,,UCR_MinicoreUCR_144_2025,161,3/12/26,39
Cp_4877,,Cp 4877,GHC2501,MinicoreUCR_391,GHC2501_453,453,UCR_mini_core,,,UCR_MinicoreUCR_391_2025,353,3/16/26,39
Vg73,,,GHC2501,MinicoreUCR_402,GHC2501_463,463,UCR_mini_core,,,UCR_MinicoreUCR_402_2025,363,3/20/26,39
IT98K-498-1,,,GHC2501,MinicoreUCR_072,GHC2501_197,197,UCR_mini_core,,,UCR_MinicoreUCR_072_2025,97,3/16/26,40
TVu-8072,,,GHC2501,MinicoreUCR_303,GHC2501_385,385,UCR_mini_core,,,UCR_MinicoreUCR_303_2025,285,3/16/26,40
KVx-403-P-20-T,,KVx 403-P-20-T,GHC2501,MinicoreUCR_077,GHC2501_201,201,UCR_mini_core,,,UCR_MinicoreUCR_077_2025,101,3/31/26,41
TVu-13778,,,GHC2501,MinicoreUCR_134,GHC2501_251,251,UCR_mini_core,,,UCR_MinicoreUCR_134_2025,151,,41
TVu-14862,,,GHC2501,MinicoreUCR_161,GHC2501_277,277,UCR_mini_core,,,UCR_MinicoreUCR_161_2025,177,,41
