seedlot_name,population_name,accession_name,common_name,minicore_id,short_day,DNA_id,year,amount,weight_gram,operator_name,description,box_name,quality,source
UCR_MinicoreUCR_039_2025,UCR_mini_core,INIA-5E,,MinicoreUCR_039,,4925,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_040_2025,UCR_mini_core,INIA-72,,MinicoreUCR_040,,4926,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_041_2025,UCR_mini_core,Iron_Clay,Iron Clay,MinicoreUCR_041,1,5721,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_042_2025,UCR_mini_core,IT00K-901-6,,MinicoreUCR_042,,4928,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_043_2025,UCR_mini_core,IT82E-18,,MinicoreUCR_043,,4929,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_044_2025,UCR_mini_core,IT83D-442,,MinicoreUCR_044,,4930,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_045_2025,UCR_mini_core,IT84S-2049,,MinicoreUCR_045,,4931,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_046_2025,UCR_mini_core,IT84S-2246,,MinicoreUCR_046,,4932,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_047_2025,UCR_mini_core,IT85F-867-5,,MinicoreUCR_047,,4933,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_048_2025,UCR_mini_core,IT86D-364,,MinicoreUCR_048,,4934,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_049_2025,UCR_mini_core,IT89KD-288,,MinicoreUCR_049,,4935,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_050_2025,UCR_mini_core,IT93K-452-1,,MinicoreUCR_050,,4936,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_051_2025,UCR_mini_core,IT93K-503-1,,MinicoreUCR_051,,4937,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_052_2025,UCR_mini_core,IT95K-1093-5,,MinicoreUCR_052,,4938,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_053_2025,UCR_mini_core,IT95K-1105-5,,MinicoreUCR_053,,4939,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_054_2025,UCR_mini_core,IT95K-1479,,MinicoreUCR_054,,4940,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_055_2025,UCR_mini_core,IT95K-1491,,MinicoreUCR_055,,4941,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_056_2025,UCR_mini_core,IT95M-190,,MinicoreUCR_056,,4942,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_057_2025,UCR_mini_core,IT96D-610,,MinicoreUCR_057,,4943,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_058_2025,UCR_mini_core,IT97K-207-15,,MinicoreUCR_058,,4944,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_059_2025,UCR_mini_core,IT97K-207-21,,MinicoreUCR_059,,4945,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_060_2025,UCR_mini_core,IT97K-461-4,,MinicoreUCR_060,,4946,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_061_2025,UCR_mini_core,IT97K-499-35-1-1,,MinicoreUCR_061,,4947,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_062_2025,UCR_mini_core,IT97K-499-39-1-1,,MinicoreUCR_062,,4948,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_063_2025,UCR_mini_core,IT97K-556-6,,MinicoreUCR_063,,4949,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_064_2025,UCR_mini_core,IT97K-569-9,,MinicoreUCR_064,,4950,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_066_2025,UCR_mini_core,IT98D-1399,,MinicoreUCR_066,,4952,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_067_2025,UCR_mini_core,IT98K-1111-1,,MinicoreUCR_067,,4953,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_069_2025,UCR_mini_core,IT98K-128-4,,MinicoreUCR_069,,4955,2025,5,,W.Spivey,,,,
UCR_MinicoreUCR_070_2025,UCR_mini_core,IT98K-205-8,,MinicoreUCR_070,,4956,2025,5,,W.Spivey,,,,
