"accession_name","block","common_name","experiment","minicore_id","plot_name","plot_number","population_name","range","row","seedlot_name","sort","first flower date","seed count","Minicore #","DNA ID"
"TVu-415",NA,NA,"GHC2501","MinicoreUCR_253","GHC2501_352",352,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_253_2025",252,NA,34,"MinicoreUCR_253",5137
"TVu-4711",NA,NA,"GHC2501","MinicoreUCR_264","GHC2501_361",361,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_264_2025",261,"3/16/26",34,"MinicoreUCR_264",5148
"TVu-7642",NA,NA,"GHC2501","MinicoreUCR_291","GHC2501_376",376,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_291_2025",276,"4/1/26",34,"MinicoreUCR_291",5175
"IT97K-499-35-1-1",NA,NA,"GHC2501","MinicoreUCR_061","GHC2501_188",188,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_061_2025",88,"3/16/26",35,"MinicoreUCR_061",4947
"TVu-12746",NA,NA,"GHC2501","MinicoreUCR_119","GHC2501_238",238,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_119_2025",138,"3/19/26",35,"MinicoreUCR_119",5005
"TVu-15610",NA,NA,"GHC2501","MinicoreUCR_178","GHC2501_291",291,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_178_2025",191,"3/13/26",35,"MinicoreUCR_178",5063
"TVu-8656",NA,NA,"GHC2501","MinicoreUCR_313","GHC2501_392",392,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_313_2025",292,"4/1/26",36,"MinicoreUCR_313",5197
"TVu-9516",NA,NA,"GHC2501","MinicoreUCR_343","GHC2501_413",413,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_343_2025",313,"4/1/26",36,"MinicoreUCR_343",5227
"IT83D-442",NA,NA,"GHC2501","MinicoreUCR_044","GHC2501_171",171,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_044_2025",71,"3/27/26",37,"MinicoreUCR_044",4930
"IT84S-2049",NA,NA,"GHC2501","MinicoreUCR_045","GHC2501_172",172,"UCR_mini_core",NA,NA,"UCR_MinicoreUCR_045_2025",72,"3/10/26",37,"MinicoreUCR_045",4931
