"experiment","plot_name","accession_name","common_name","plot_number","range","row","block","seedlot_name"
"CP2602","CP2602_501","CB3",NA,501,5,1,"5","GHC2501_147_SL"
"CP2602","CP2602_502","PI 564741","Carolina Sugar",502,5,2,"5","GRIN_PI564741_2026"
"CP2602","CP2602_503","Check3","Dixie Lee Pea",503,5,3,"5","KellySeedDillon_DixieLeaPea_2024"
"CP2602","CP2602_504","Check1","Coronet Pinkeye Purplehull",504,5,4,"5","KellySeedDillon_CoronetPinkeyePurplehull_2024"
"CP2602","CP2602_505","UCR_5164","UCR 5164",505,5,5,"5","GHC2501_436_SL"
"CP2602","CP2602_506","IT97K-207-15",NA,506,5,6,"5","GHC2501_185_SL"
"CP2602","CP2602_507","SASAQUE",NA,507,5,7,"5","GHC2501_220_SL"
"CP2602","CP2602_508","Bambey_21","Bambey 21",508,5,8,"5","GHC2501_144_SL"
"CP2602","CP2602_509","TVu-14346",NA,509,5,9,"5","GHC2501_268_SL"
"CP2602","CP2602_510","UCR_1432","UCR 1432",510,5,10,"5","GHC2501_429_SL"
"CP2602","CP2602_511","CoronetPinkeyePurplehull",NA,511,5,11,"5",NA
"CP2602","CP2602_512","KVx-525","KVx 525",512,5,12,"5","GHC2501_204_SL"
"CP2602","CP2602_513","KVx-421-25","KVx 421-25",513,5,13,"5","GHC2501_202_SL"
"CP2602","CP2602_514","Check2","Top Pick Pinkeye Pea",514,5,14,"5","Hoss_TopPickPinkeyePea_2024"
"CP2602","CP2602_515","IT98D-1399",NA,515,5,15,"5","GHC2501_192_SL"
"CP2602","CP2602_516","PI 664513","Santee Early Pinkeye",516,5,16,"5","GRIN_PI664513_2026"
"CP2602","CP2602_517","TVu-8671",NA,517,5,17,"5","GHC2501_393_SL"
"CP2602","CP2602_518","TVu-12710",NA,518,5,18,"5","GHC2501_237_SL"
"CP2602","CP2602_519","IT98K-1111-1",NA,519,5,19,"5","GHC2501_193_SL"
"CP2602","CP2602_520","TVu-3657",NA,520,5,20,"5","GHC2501_345_SL"
"CP2602","CP2602_521","TVu-15610",NA,521,5,21,"5","GHC2501_291_SL"
"CP2602","CP2602_522","Vg56",NA,522,5,22,"5","GHC2501_459_SL"
"CP2602","CP2602_523","TVu-8082",NA,523,5,23,"5","GHC2501_386_SL"
